,index,lyrics,label
0,461,"sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  some of them want to use you  some of them want to get used by you  some of them want to abuse you  some of them want to be abused  ♪  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  ♪  (hold your head up, keep your head up) movin' on  (hold your head up) movin' on, (keep your head up) movin' on  (hold your head up) movin' on, (keep your head up) movin' on  (hold your head up) movin' on, (keep your head up)  ♪  some of them want to use you  some of them want to get used by you  some of them want to abuse you  some of them want to be abused  ♪  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this (oh-oh)    sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  some of them want to use you  some of them want to get used by you  some of them want to abuse you  some of them want to be abused  ♪  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  ♪  (hold your head up, keep your head up) movin' on  (hold your head up) movin' on, (keep your head up) movin' on  (hold your head up) movin' on, (keep your head up) movin' on  (hold your head up) movin' on, (keep your head up)  ♪  some of them want to use you  some of them want to get used by you  some of them want to abuse you  some of them want to be abused  ♪  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this (oh-oh)    sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  some of them want to use you  some of them want to get used by you  some of them want to abuse you  some of them want to be abused  ♪  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  ♪  (hold your head up, keep your head up) movin' on  (hold your head up) movin' on, (keep your head up) movin' on  (hold your head up) movin' on, (keep your head up) movin' on  (hold your head up) movin' on, (keep your head up)  ♪  some of them want to use you  some of them want to get used by you  some of them want to abuse you  some of them want to be abused  ♪  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this  who am i to disagree?  i travel the world and the seven seas  everybody's looking for something  sweet dreams are made of this (oh-oh)  ",0
1,96,"i've cheated and i've lied  i've broke down and i've cried  i've got nothing to hide no more  i've loved and i've hurt  i've broken people down with words  more grace than i deserve, for sure  known to be crazy, known to be wild  mama had herself a little devilish child  ain't no stranger to the troubles at my door (at my door)  i've been at the wrong place at the wrong time  chasing all the wrong things most of my life  been every kind of lost that you can't find  but i got one thing right  been the kind of guy girls' mommas don't like  running with the wrong crowd on the wrong nights  'cause i've been wrong about a million times  but i got one thing right, you  (baby, i got one thing right, mmm)  (baby, i got one thing right)  i got you  (baby, i got one thing right)  i got one thing right  you saw right through my pain  kept us patient while i change  never even crossed your mind to walk away (to walk away)  when i was getting crazy, reckless and wild  acting like my mama's little devilish child  it took a heart like yours to find its place (find its place)  i've been at the wrong place at the wrong time  chasing all the wrong things most of my life  been every kind of lost that you can't find  but i got one thing right  been the kind of guy girls' mommas don't like  running with the wrong crowd on the wrong nights  i've been wrong about a million times  but i got one thing right, you  (baby, i got one thing right, mmm)  (baby, i got one thing right)  i got you  (baby, i got one thing right)  i got one thing right  i've been wrong about a million times  but i got one thing right, i got one thing right  i've been at the wrong place at the wrong time  chasing all the wrong things most of my life  been every kind of lost that you can't find  but i got one thing right (but i got one thing right)  been the kind of guy girls' mommas don't like (mommas don't like)  running with the wrong crowd on the wrong nights  i've been wrong about a million times  but i got one thing right, you  (baby, i got one thing right, mmm)  (baby, i got one thing right)  i got you  (baby, i got one thing right)  i got one thing right  i've been at the wrong place at the wrong time  chasing all the wrong things most of my life  been every kind of lost that you can't find  but i got one thing right (i got one thing right)  ",1
2,258,"ring, do you hear me callin'?  purps on the beat  me no want no drama  do you hear me callin'?  do you hear me callin'?  me no want no drama  not a fighter, a lover  do you hear me callin'?  do you hear me callin'?  me no want no drama  i just want you, my darling  break away and make a way to make it  love the way you looking when you naked  treat your heart just like a blunt of og  roll it up, i kissed it and i smoke it  gots to be jokin'  where in the fuck did you think you were goin'?  folding and packing your clothes  like you ain't know i was gon' unfold it  a wine glass full of your emotions  oh, pinot grigio, sipping, beautiful  heaven-soul woman  me don't know, let me know  let me in your heart  don't you dare forget me  i'm your fan, your poster's on my walls  inside my head, yeah, yeah  i'm your fan, your poster's on my walls  inside my head, yeah  do you hear me callin'?  do you hear me callin'?  me no want no drama  not a fighter, a lover  do you hear me callin'?  do you hear me callin'?  me no want no drama  i just want you, my darling  you drive me insane, no girl make me feel this way  wait girl, you got your ways, girl you are my getaway  wait, let me keep you safe  in exchange, give me brain, brain  you my main thing, turn around, bang bang  hit the beach in l.a. like you a beach ball  me and you in the lambo' truck  you start it up and skrrt off  we park after dark at the park by the mansion  take your skirt off  oh, me can't wait to get all up inside of it  my heart is racing, every time i'm tasting it  wait until the drugs fade out  hate making love when i'm faded  that's because i wanna feel it  girl, you give me the best feeling  yes, girl you the best, take away stress, love me to death  even when i'm a mess  do you hear me callin'?  do you hear me callin'?  me no want no drama  not a fighter, a lover  do you hear me callin'?  do you hear me callin'?  me no want no drama  i just want you, my darling (darling)  ring, do you hear me callin'?  me no want no drama  ring, do you hear me callin'?  me no want no drama  ",0
3,11,,5
4,477,"outra vez nós brigamos  por motivo idiota cê bateu a porta  e me deixou chorando  disse tanta besteira que até não me ama  e já tem outros planos  e agora o que eu faço sem você aqui  tô sem rumo e rodando  eu tô rodando a cidade  tô dentro do carro  pensando em você  morrendo de saudade  sofrimento em alta  tô indo no bar  pra matar a vontade  que eu tô de te ouvir  te sentir e depois te ver batendo a porta    eu tô rodando a cidade  tô dentro do carro  pensando em você  morrendo de saudade  tô lembrando da briga  ouvindo marília  meu deus que vontade  que eu tô de te ouvir  te sentir e depois te ver batendo a porta  para, pensa e volta  ♪  brasil, oh moda doída  ♪  de novo  outra vez nós brigamos  por motivo idiota cê bateu a porta  e me deixou chorando  disse tanta besteira que até não me ama  e já tem outros planos  e agora o que eu faço sem você aqui  tô sem rumo e rodando  eu tô rodando a cidade  tô dentro do carro  pensando em você  morrendo de saudade  sofrimento em alta  tô indo no bar  pra afogar a vontade  que eu tô de te ouvir  te sentir e depois te ver batendo a porta  eu tô rodando a cidade  tô dentro do carro  pensando em você  morrendo de saudade  tô lembrando da briga  ouvindo yasmin  aí meu deus que vontade  que eu tô de te ouvir  te sentir e depois te ver batendo a porta  para, pensa e volta  tô dentro do carro  pensando em você  morrendo de saudade  tô lembrando da briga  ouvindo yasmin  aí meu deus que vontade  que eu tô de te ouvir  te sentir e depois te ver batendo a porta  para, pensa e volta  ♪  marília mendonça  yasmin santos  ♪  muito obrigada  ",3
5,435,"tell me what you're crying for  i'll wipe your tears, oh, love  if your soul is aching love  we will comfort you, for sure  if we're caught in a wave  i will carry you over  it don't matter where you are  i'll run to your front door  when my head goes in different directions  you know my heart's never on the move (on the move)  and in the dark times, you don't have to question  if i'm a hundred with you (with you)  you could put an ocean between our love, love, love  it won't keep us apart  you could build a wall, i would run it up, up, up  just to get to your heart  if we're caught in a wave  baby, we'll make a way  you could put an ocean between our love, love, love  it won't keep us apart  ♪  (love between our love)  ♪  (love between our love)  shadows play on idle hands  i lose myself, i do  but i'll find my way to velvet sands  i'll crash right into you  if we're caught in a wave  i will carry you over  it don't matter where we are  you're still the one i chose  when my head goes in different directions  you know my heart's never on the move (on the move)  and in the dark times, you don't have to question  if i'm a hundred with you (with you)  you could put an ocean between our love, love, love (ooh)  it won't keep us apart  you could build a wall, i would run it up, up, up (run it up)  just to get to your heart  if we're caught in a wave (in a wave)  baby, we'll make a way  you could put an ocean between our love, love, love  it won't keep us apart  ♪  (love between our love)  ♪  (love between our love)  you could put an ocean between our love, love, love  it won't keep us apart  you could build a wall, i would run it up, up, up (run it up)  just to get to your heart  if we're caught in a wave (wave)  baby, we'll make a way  you could put an ocean between our love, love, love  it won't keep us apart  ",1
6,172,"vamo assim ó  segura assim moçada  pode dar um gritinho assim ó  ei brasil  isso é moda pra mais de um metro, ein  o freezer tá marcando menos quatro  tá todo mundo alegre e eu grilado  o que é que eu tô fazendo aqui  passou da meia noite e ainda não bebi  é que eu fiz promessa pra parar  pra ver se você volta mais não dá  eu encaro a garrafa, ela me encara, não tem jeito  é questão de segundo eu vou mandar ela  se eu não beber eu fico anti-social  se eu ficar sã, o povo vê que eu tô mal  como é que eu vou ligar pra ela com a voz normal  se eu já acostumei jogar a culpa no meu grau  se eu não beber eu fico anti-social  se eu ficar sã, o povo vê que eu tô mal  como é que eu vou ligar pra ela com a voz normal  se eu já acostumei jogar a culpa é no meu grau  a culpa é do meu grau  ♪  é que eu fiz promessa pra parar  pra ver se você volta mais não dá  eu encaro a garrafa, ela me encara, não tem jeito  é questão de segundos pra mandar ela no peito  se eu não beber eu fico anti-social  se eu ficar sã, o povo vê que eu tô mal  como é que eu vou ligar pra ela com a voz normal  se eu já acostumei jogar a culpa é no meu grau  se eu não beber eu fico anti-social  se eu ficar sã, o povo vê que eu tô mal  como é que eu vou ligar pra ela com a voz normal  se eu já acostumei jogar a culpa é no meu grau  se eu não beber eu fico anti-social  se eu ficar sã, o povo vê que eu tô mal  como é que eu vou ligar pra ela com a voz normal  se eu já acostumei jogar a culpa é no meu grau  a culpa é no meu grau  a culpa é no meu grau  ",0
7,313,"boy, tell me, can you take my breath away?  cruisin' down a heart-shaped highway  got you swervin' lane-to-lane, don't hit the brakes  'cause i'm feelin' so safe  i'll be your baby, on a sunday  oh, why don't we get out of town?  call me your baby, on the same wave  oh, no, no, there's no slowin' down  you and i, i  ridin' harleys in hawaii-i-i  i'm on the back, i'm holdin' tight, i  want you to take me for a ri-ide, ride  when i hula-hula, hula  so good, you'll take me to the jeweler-jeweler, jeweler  there's pink and purple in the sky-y-y  we're ridin' harleys in hawaii-i-i  let me run my fingers through your salty hair  go ahead, explore the island  vibes so real that you can feel it in the air  i'm revvin' up your engine  i'll be your baby, on a sunday  oh, why don't we get out of town? (why don't we get out of town?)  call me your baby, catch the same wave  oh, no, no, there's no slowin' down (let's go)  you and i, i  ridin' harleys in hawaii-i-i  i'm on the back, i'm holdin' tight, i  want you to take me for a ri-ide, ride  when i hula-hula, hula  so good, you'll take me to the jeweler-jeweler, jeweler  there's pink and purple in the sky-y-y  we're ridin' harleys in hawaii-i-i  ♪  no, no  ♪  you and i (you and i, i)  ridin' harleys in hawaii-i-i  i'm on the back, i'm holdin' tight, i  want you to take me for a ri-ide, ride  when i hula-hula, hula  so good, you'll take me to the jeweler-jeweler, jeweler  there's pink and purple in the sky-y-y  we're ridin' harleys in hawaii-i-i  i'll be your baby, on a sunday  oh, whoa  we're ridin' harleys in hawaii-i  call me your baby, catch the same wave  oh, whoa  we're ridin' harleys in hawaii-i  ",0
8,245,"immer um sechs uhr morgens  wenn der hennessy nachlässt  was ist aus uns geworden?  ich erkenne dich gar nicht  immer um 6 uhr morgens  wenn der hennessy nachlässt  ich frage mich, was ist aus mir geworden?  ich erkenne mich gar nicht  steh' hier wieder vor dei'm eingang  wollte fragen, ob ich reinkann  steh' hier wieder vor der tür  doch ich glaub', niemand ist hier  ja, ich lieg' im lamborghini drin  so lang gewartet, bis dieses spiel beginnt  und der mensch in meinem spiegelbild  war nie sehr beliebt, weil er immer gleich geblieben ist  sag, warum willst du schon los ohne mich?  mein apartment ist so groß ohne dich  ich hab' zu viel zeit auf den straßen verschwendet  wie oft haben wir uns vertragen am ende? (oh)  und für die schönste auf erden  geh' ich diesen weg, bis ich sterbe  jetzt lauf' ich auf scherben  doch ich lass' mir nix anmerken  immer um sechs uhr morgens  wenn der hennessy nachlässt  was ist aus uns geworden?  ich erkenne dich gar nicht  immer um 6 uhr morgens  wenn der hennessy nachlässt  ich frage mich, was ist aus mir geworden?  ich erkenne mich gar nicht  steh' hier wieder vor dei'm eingang  wollte fragen, ob ich reinkann  steh' hier wieder vor der tür  doch ich glaub', niemand ist hier  ich will so viel sagen  doch fresse diese wörter in mich rein  je mehr geld ich jage, desto kürzer meine zeit  so viele leute um mich rum, doch bin irgendwie allein (oh)  schon wieder die mailbox nur wegen mei'm ego  warum kann ich nicht ohne dich? (oh)  bei der letzten begegnung, du warst so bueno  du bist der grund, warum ich strophe kick'  baby, ich teile dich nicht  es gibt keine zweite für mich  dein schweigen ist gift  es zerreißt mich, wenn ich nicht weiß, wo du bist  immer um sechs uhr morgens  wenn der hennessy nachlässt  was ist aus uns geworden?  ich erkenne dich gar nicht  immer um 6 uhr morgens  wenn der hennessy nachlässt  ich frage mich, was ist aus mir geworden?  ich erkenne mich gar nicht  steh' hier wieder vor dei'm eingang  wollte fragen, ob ich reinkann  steh' hier wieder vor der tür  doch ich glaub', niemand ist hier  ",4
9,82,"yeah, ay  yeah, ay, yeah  yeah, yeah, ay  ay, ay, ay  i'm like ""bitch, who is your man's?"", ayy  can't keep my dick in my pants, ayy  my bitch don't love me no more, ayy  she kick me out i'm like ""vro"", ayy  that bitch don't wanna be friends, ayy  i gave her dick, she amen, ayy  she put her tongue on my dick, ayy  look at my wrist, about ten, ayy  just got a pound of that boof, ayy  brought that shit straight to the booth, ayy  tommy my hilfiger voots, ayy  she said, ""wan' fuck?"", bitch, i do, ayy  you put a gun on my mans, ayy  i put a hole in your parents, ayy  i just got lean on my ksubis, ayy  i got an uzi, no uzi  fuck on me, look at me, ayy  fuck on me, yeah, look at me, ayy  look at me, look at me, yeah  fuck on me, yeah, ayy  look at me, yeah, fuck on me  look at me, fuck on me, yeah  look at me, fuck on me  yeah, ayy  tell ya fuckin' nigga fuck me up, pipe up    ayy, shouts out bans and them  ♪  ayy  i took a white bitch to starbucks  that lil' bitch got her throat fucked  i like to rock out, i'm misfit  my emo bitch like her wrist slit  curly hair bitch like i'm corbin  got like three bitches, i'm mormon  skeet on your main bitch's forehead  don't want your pussy, just want head  look at me, fuck on me  look at me, fuck on me  look at me, fuck on me  look at me, yeah, ayy  look at me, fuck on me  look at me, fuck on me  look at me, fuck on me  look at me, yeah    yeah, ay  yeah, ay, yeah  yeah, yeah, ay  ay, ay, ay  i'm like ""bitch, who is your man's?"", ayy  can't keep my dick in my pants, ayy  my bitch don't love me no more, ayy  she kick me out i'm like ""vro"", ayy  that bitch don't wanna be friends, ayy  i gave her dick, she amen, ayy  she put her tongue on my dick, ayy  look at my wrist, about ten, ayy  just got a pound of that boof, ayy  brought that shit straight to the booth, ayy  tommy my hilfiger voots, ayy  she said, ""wan' fuck?"", bitch, i do, ayy  you put a gun on my mans, ayy  i put a hole in your parents, ayy  i just got lean on my ksubis, ayy  i got an uzi, no uzi  fuck on me, look at me, ayy  fuck on me, yeah, look at me, ayy  look at me, look at me, yeah  fuck on me, yeah, ayy  look at me, yeah, fuck on me  look at me, fuck on me, yeah  look at me, fuck on me  yeah, ayy  tell ya fuckin' nigga fuck me up, pipe up    ayy, shouts out bans and them  ♪  ayy  i took a white bitch to starbucks  that lil' bitch got her throat fucked  i like to rock out, i'm misfit  my emo bitch like her wrist slit  curly hair bitch like i'm corbin  got like three bitches, i'm mormon  skeet on your main bitch's forehead  don't want your pussy, just want head  look at me, fuck on me  look at me, fuck on me  look at me, fuck on me  look at me, yeah, ayy  look at me, fuck on me  look at me, fuck on me  look at me, fuck on me  look at me, yeah  ",1
