,index,Poem,label
0,326,"LAUGHTER - LAUGHTER

laughter - laughter here I come
to make my friend smile and calm
jump and jump to the left to the right
thru the day time and night

laughter - laughter here I am
to make true all the sweetest dreams
like my friend always has in sleep
thru the very beautiful night 
that will never skip

laughter - laughter here we are
my friend and I are blab - blab - blab
and we are happy and careless
cause the better future are waiting for us

laughter - laughter, who are you? 
WHAT! you don't recognize me? 
I am sorry, I thought I know you 
but just let it be
because a real friendship doesn't care who we are




",1.0
1,219,"The Gardener XXXIV: Do Not Go, My Love 

Do not go, my love, without asking
my leave.
I have watched all night, and now
my eyes are heavy with sleep.
I fear lest I lose you when I'm
sleeping.
Do not go, my love, without asking
my leave.
I start up and stretch my hands to
touch you. I ask myself, ""Is it a 
dream?""
Could I but entangle your feet with
my heart and hold them fast to my
breast!
Do not go, my love, without asking
my leave.",2.0
2,28,"I walked on a path through the jungle

by Jiddu Krishnamurti




I walked on a path through the jungle
Which an elephant had made,
And about me lay a tangle of wilderness.
The voice of desolation fills the distant plain.
And the city is noisy with the bells of a tall temple.
Beyond the jungle are the great mountains,
Calm and clear.

In the fear of Life
The temptation of sorrow is created.

Cut down the jungle -- not one mere tree,
For Truth is attained
By putting aside all that you have sown.

And now I walk with the elephant.",1.0
3,535,"The Face Of Sadness

Its happened again.

The moment when I thought nothing would go wrong,
That everything would be alright,
That there was nothing to worry about,
That everything was perfect.

But just like those other times,
It didn't last.
Another moment in life,
Another piece to the puzzle.
Slowly completing,

And showing its face.

The face that I've been longing to see.
The face I was always aware of,
The face I've been waiting for,
The face I'm conscious of.

Suddenly exposed into my eyes and heart.

I stare motionless,
Although expected, still surprised.
Calmly, patiently, warmly, silently, soothingly,
Able to realize that this is what I was sent to discover.
Sent to vividly recognize what this is all about.

Not a game but another rationally humanly way of living.
Just another part I must adjust to.
And when the end suddenly appears,
Ill be proud to say that I learned something in life.
Proud to say that I learned something thanks to you.

Proud to say I saw the face and learned about it.

Proud to say that that face was introduced by you,
Fed by you,
And lived by you.


",0.0
4,331,"
Laughter  

Laughter is a pleasant sound, it spreads joy all around
Whether you're young or old, laughter can be like
Magic to our souls, whenever we're feeling sad
Laughter can sustain us so that things don't seem
Quite so bad, if we give into laughter, it can be like
A cure for something that seems impossible to endure
So any time your spirits need a lift fill yourself
With laughter and you will find, a much happier
Person with a peaceful frame of mind 
",1.0
5,386,"Never Have I Fallen

Your lips speak soft sweetness
Your touch a cool caress
I am lost in your magic
My heart beats within your chest 
I think of you each morning
And dream of you each night
I think of your arms being around me
And cannot express my delight

Never have I fallen
But I am quickly on my way
You hold a heart in your hands
That has never before been given away",2.0
6,433,"Can You Hear Me!

Can You Hear Me!
Where were you when the tears fell?
When the blood began to flow?
Where were you when I was scared? 
When all my skies were gray,
And I lost all hope?
Where were you through all the years?
When it all began? 
Where were when I was hurt and bleeding, when I needed you?
Where were you when I was sad and in jail?
When there was no strength left, 
And where the hell are you now?

When it all came down and the walls were crashing in, 
All was lost and gone, and when I fought?

Where were you when I stayed up and cried myself to sleep each night, 
and I tossed and turned? 
And where are you now?
That I'm stuck and there's nowhere to turn? 
So I ask you this where will you be, 
When the walls come down again?
Where will you turn when the tables turn?
And there is no wear to hide or no one to blame?


",3.0
7,312,"Can You Not See
Can you not see this pain I have inside
For so long It had to hide

Pain surrounds me day by day
It just doesn't seem to go away

Pain that comes and pain that goes
Pain that keeps you on your toes

There is pain in my heart
And it seems to never part

Pain stuffed inside of me
Can't let anyone near me

Can't let anyone see the real me
Can't let anyone even hug me

It seems that nobody cares
still yet to bare

I can't take this pain anymore
I just want to walk out the door",3.0
8,84,"Mohandas Karamchand


“Generations to come will scarcely
believe that such a one as this walked
the earth in flesh and blood.”
   —Albert Einstein

Who? Who? Who?
Mahatma. Sorry no.
Truth. Non-violence.
Stop it. Enough taboo.

That trash is long overdue.
You need a thorough review.
Your tax-free salt stimulated our wounds
We gonna sue you, the Congress shoe.

Gone half-cuckoo, you called us names,
You dubbed us pariahs—“Harijans”
goody-goody guys of a bigot god
Ram Ram Hey Ram—boo.

Don’t ever act like a holy saint.
we can see through you, impure you.
Remember, how you dealt with your poor wife.
But, they wrote your books, they made your life.

They stuffed you up, the imposter true.
And sew you up—filled you with virtue
and gave you all that glossy deeds
enough reason we still lick you.

You knew, you bloody well knew,
Caste won’t go, they wouldn’t let it go.
It haunts us now, the way you do
with a spooky stick, a eerie laugh or two.

But they killed you, the naked you,
your blood with mud was gooey goo.
Sadist fool, you killed your body
many times before this too.

Bapu, bapu, you big fraud, we hate you.



",0.0
9,80,"When the God drank milk


This was the second time
He spanned the world
So quickly. . . In telecast
miracles that occurred from
Michigan to Manila to Madras
Whether He was in plastic, ceramic,
Fire-burnt clay or stiff black stone
The Elephant-Headed, the Pot-Bellied,
The Remover of Obstacles, Ganesha,
The God had his fill as he sucked
The spoonfuls of creamy milk. . .

I am not willing to listen to
Capillary Action Rationalism
Or any scientific explorations. . .

Instead I am hunting for some
Silly girl’s bizarre secret, to know if
The Son of Shiva had let himself
To be breastfed, to be suckled. . .
And if she, having tasted success
At His having tasted her,
Moved on to younger,
Charming Gods,
With their mouths
Full of white teeth.


",1.0
