@RELATION emotion
@ATTRIBUTE term	string
@ATTRIBUTE noun {true,false}
@ATTRIBUTE verb {true,false}
@ATTRIBUTE adjective {true,false}
@ATTRIBUTE adverb {true,false}
@ATTRIBUTE title-word {true,false}
@ATTRIBUTE repeat-word {true,false}
@ATTRIBUTE lastline {true,false}
@ATTRIBUTE  negation{true,false}
@ATTRIBUTE simile {true,false}
@ATTRIBUTE metaphore {true,false}
@ATTRIBUTE concept string 
@ATTRIBUTE class 	{anger,hate,joy,sad,love,courage,surprise,fear,peace}
@DATA
god,true,false,false,false,true,false,false,false,false,false,SLEEP,sad
labour,true,false,false,false,true,false,false,false,false,false,SLEEP,sad
dream,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
silver,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
air,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
gold,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
left,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
dream,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
rainbow,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
bridge,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
soil,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
sky,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
dancing,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
planet,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
midge,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
mood,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
infinity,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
heaven,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
stuff,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
light,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
stay,true,false,false,false,false,false,false,true,false,false,SLEEP,sad
root,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
heaven,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
descend,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
clay,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
burden,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
nature,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
bear,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
way,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
godhead,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
earth,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
twixt,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
gate,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
death,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
birth,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
digging,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
mid,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
horror,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
filth,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
mire,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
bed,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
song,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
home,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
fire,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
night,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
fire,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
man,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
hate,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
hell,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
spite,true,false,false,false,false,false,false,false,false,false,SLEEP,sad
meed,true,false,false,false,false,false,true,false,false,false,SLEEP,sad
world,true,false,false,false,false,false,true,false,false,false,SLEEP,sad
musa,true,false,false,false,true,false,false,false,false,false,CHANGE,love
spiritus,true,false,false,false,true,false,false,false,false,false,CHANGE,love
word,true,false,false,false,false,false,false,false,false,false,CHANGE,love
fire,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thou,true,false,false,false,false,false,false,false,false,false,CHANGE,love
hast,true,false,false,false,false,false,false,false,false,false,CHANGE,love
centurie,true,false,false,false,false,false,false,false,false,false,CHANGE,love
descend,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,love
desire,true,false,false,false,false,false,false,false,false,false,CHANGE,love
gold,true,false,false,false,false,false,false,false,false,false,CHANGE,love
eternitie,true,false,false,false,false,false,false,false,false,false,CHANGE,love
gulf,true,false,false,false,false,false,false,false,false,false,CHANGE,love
nature,true,false,false,false,false,false,false,false,false,false,CHANGE,love
leap,true,false,false,false,false,false,false,false,false,false,CHANGE,love
voice,true,false,false,false,false,false,false,false,false,false,CHANGE,love
space,true,false,false,false,false,false,false,false,false,false,CHANGE,love
call,true,false,false,false,false,false,false,false,false,false,CHANGE,love
light,true,false,false,false,false,false,false,false,false,false,CHANGE,love
break,true,false,false,false,false,false,false,false,false,false,CHANGE,love
seal,true,false,false,false,false,false,false,false,false,false,CHANGE,love
matter,true,false,false,false,false,false,false,false,false,false,CHANGE,love
sleep,true,false,false,false,false,false,false,false,false,false,CHANGE,love
break,true,false,false,false,false,false,false,false,false,false,CHANGE,love
trance,true,false,false,false,false,false,false,false,false,false,CHANGE,love
height,true,false,false,false,false,false,false,false,false,false,CHANGE,love
glow,true,false,false,false,false,false,false,false,false,false,CHANGE,love
mind,true,false,false,false,false,false,false,false,false,false,CHANGE,love
waste,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thronging,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thought,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,love
epic,true,false,false,false,false,false,false,false,false,false,CHANGE,love
grot,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,love
lyric,true,false,false,false,false,false,false,false,false,false,CHANGE,love
hover,true,false,false,false,false,false,false,false,false,false,CHANGE,love
bird,true,false,false,false,false,false,false,false,true,false,CHANGE,love
swirl,true,false,false,false,false,false,false,false,false,false,CHANGE,love
heart,true,false,false,false,false,false,false,false,false,false,CHANGE,love
sea,true,false,false,false,false,false,false,false,false,false,CHANGE,love
touch,true,false,false,false,false,false,false,false,false,false,CHANGE,love
sight,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,love
deity,true,false,false,false,false,false,false,false,false,false,CHANGE,love
muse,true,false,false,false,false,false,false,false,false,false,CHANGE,love
silence,true,false,false,false,false,false,false,false,false,false,CHANGE,love
wideness,true,false,false,false,false,false,false,false,false,false,CHANGE,love
stillness,true,false,false,false,false,false,false,false,false,false,CHANGE,love
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,love
voice,true,false,false,false,false,false,false,false,false,false,CHANGE,love
heaven,true,false,false,false,false,false,false,false,false,false,CHANGE,love
spirit,true,false,false,false,true,false,false,false,false,false,CHANGE,love
thy,true,false,false,false,false,false,false,false,false,false,CHANGE,love
eagle,true,false,false,false,false,false,false,false,false,false,CHANGE,love
power,true,false,false,false,false,false,false,false,false,false,CHANGE,love
flame,true,false,false,false,false,false,false,false,false,false,CHANGE,love
rejoice,true,false,false,false,false,false,false,false,false,false,CHANGE,love
mind,true,false,false,false,false,false,false,false,false,false,CHANGE,love
candle,true,false,false,false,false,false,false,false,false,false,CHANGE,love
