poem content,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise,age,type
"Let the bird of loudest lay
On the sole Arabian tree
Herald sad and trumpet be,
To whose sound chaste wings obey.

But thou shrieking harbinger,
Foul precurrer of the fiend,
Augur of the fever's end,
To this troop come thou not near.

From this session interdict
Every fowl of tyrant wing,
Save the eagle, feather'd king;
Keep the obsequy so strict.

Let the priest in surplice white,
That defunctive music can,
Be the death-divining swan,
Lest the requiem lack his right.

And thou treble-dated crow,
That thy sable gender mak'st
With the breath thou giv'st and tak'st,
'Mongst our mourners shalt thou go.

Here the anthem doth commence:
Love and constancy is dead;
Phoenix and the Turtle fled
In a mutual flame from hence.

So they lov'd, as love in twain
Had the essence but in one;
Two distincts, division none:
Number there in love was slain.

Hearts remote, yet not asunder;
Distance and no space was seen
'Twixt this Turtle and his queen:
But in them it were a wonder.

So between them love did shine
That the Turtle saw his right
Flaming in the Phoenix' sight:
Either was the other's mine.

Property was thus appalled
That the self was not the same;
Single nature's double name
Neither two nor one was called.

Reason, in itself confounded,
",5,sadness,0.6507381,0.13340177,0.07661828,0.094705686,0.006762238,0.03295978,0.6507381,0.004814104,Renaissance,Mythology & Folklore
"Sir Charles into my chamber coming in,
When I was writing of my Fairy Queen;
I praysaid hewhen Queen Mab you do see
Present my service to her Majesty:
And tell her I have heard Fame's loud report
Both of her beauty and her stately court.
When I Queen Mab within my fancy viewed,
My thoughts bowed low, fearing I should be rude;
Kissing her garment thin which fancy made,
I knelt upon a thought, like one that prayed;
And then, in whispers soft, I did present
His humble service which in mirth was sent;
Thus by imagination I have been
In Fairy court and seen the Fairy Queen.",0,anger,0.26429585,0.26429585,0.14570697,0.057977196,0.2627153,0.019884355,0.24445744,0.00496282,Renaissance,Mythology & Folklore
"Our vice runs beyond all that old men saw,
And far authentically above our laws,
And scorning virtues safe and golden mean,
Sits uncontrolled upon the high extreme.
Circes, thy monsters painted out the hue,
Of feigned filthiness, but ours is true.
Our vice puts down all proverbs and all themes,
Our vice excels all fables and all dreams.",0,anger,0.75805366,0.75805366,0.21044387,0.003689876,0.001755206,0.013996695,0.011482558,0.000578273,Renaissance,Mythology & Folklore
"Lo I the man, whose Muse whilome did maske,
As time her taught in lowly Shepheards weeds,
Am now enforst a far unfitter taske,
For trumpets sterne to chaunge mine Oaten reeds,
And sing of Knights and Ladies gentle deeds;
Whose prayses having slept in silence long,
Me, all too meane, the sacred Muse areeds
To blazon broad emongst her learned throng:
Fierce warres and faithful loves shall moralize my song.
Helpe then, O holy Virgin chiefe of nine,
Thy weaker Novice to performe thy will,
Lay forth out of thine everlasting scryne
The antique rolles, which there lye hidden still,
Of Faerie knights and fairest Tanaquill,
Whom that most noble Briton Prince so long
Sought through the world, and suffered so much ill,
That I must rue his undeserved wrong:
O helpe thou my weake wit, and sharpen my dull tong.
And thou most dreaded impe of highest Jove,
Faire Venus sonne, that with thy cruell dart
At that good knight so cunningly didst rove,
That glorious fire it kindled in his hart,
Lay now thy deadly Heben bow apart,
And with thy mother milde come to mine ayde:
Come both, and with you bring triumphant Mart,
In loves and gentle jollities arrayd,
After his murdrous spoiles and bloudy rage allayd.
And with them eke, O Goddesse heavenly bright,
Mirrour of grace and M",0,anger,0.89628047,0.89628047,0.009259264,0.004948996,0.002319839,0.007622642,0.07808781,0.001481163,Renaissance,Mythology & Folklore
"Long have I longd to see my love againe,
Still have I wisht, but never could obtaine it;
Rather than all the world (if I might gaine it)
Would I desire my loves sweet precious gaine.
Yet in my soule I see him everie day,
See him, and see his still sterne countenaunce,
But (ah) what is of long continuance,
Where majestie and beautie beares the sway?
Sometimes, when I imagine that I see him,
(As love is full of foolish fantasies)
Weening to kisse his lips, as my loves fees,
I feele but aire: nothing but aire to bee him.
Thus with Ixion, kisse I clouds in vaine:
Thus with Ixion, feele I endles paine.",5,sadness,0.6005434,0.027076684,0.036344208,0.075487465,0.01721248,0.187106,0.6005434,0.05622985,Renaissance,Mythology & Folklore
"Cherry-lipt Adonis in his snowie shape,
    Might not compare with his pure ivorie white,
    On whose faire front a poets pen may write,
Whose roseate red excels the crimson grape,
His love-enticing delicate soft limbs,
    Are rarely framd tintrap poore gazine eies:
    His cheeks, the lillie and carnation dies,
With lovely tincture which Apollos dims.
His lips ripe strawberries in nectar wet,
    His mouth a Hive, his tongue a hony-combe,
    Where Muses (like bees) make their mansion.
His teeth pure pearle in blushing correll set.
    Oh how can such a body sinne-procuring,
    Be slow to love, and quicke to hate, enduring?",5,sadness,0.42004195,0.04255015,0.06554515,0.06674763,0.09826062,0.16271324,0.42004195,0.14414129,Renaissance,Mythology & Folklore
"Praisd be Dianas fair and harmless light;
Praisd be the dews wherewith she moists the ground;
Praisd be her beams, the glory of the night;
Praisd be her power by which all powers abound.

Praisd be her nymphs with whom she decks the woods,
Praisd be her knights in whom true honour lives;
Praisd be that force by which she moves the floods;
Let that Diana shine which all these gives.

In heaven queen she is among the spheres;
In aye she mistress-like makes all things pure;
Eternity in her oft change she bears;
She beauty is; by her the fair endure.

Time wears her not: she doth his chariot guide;
Mortality below her orb is placd;
By her the virtue of the stars down slide;
In her is virtues perfect image cast.

         A knowledge pure it is her worth to know:
         With Circes let them dwell that think not so.",3,joy,0.44201624,0.03210633,0.029625678,0.019745067,0.44201624,0.41969204,0.03451381,0.022300735,Renaissance,Mythology & Folklore
"When I was fair and young, then favor graced me.
Of many was I sought their mistress for to be.
But I did scorn them all and answered them therefore:
Go, go, go, seek some other where; importune me no more.

How many weeping eyes I made to pine in woe,
How many sighing hearts I have not skill to show,
But I the prouder grew and still this spake therefore:
Go, go, go, seek some other where, importune me no more.

Then spake fair Venus son, that proud victorious boy,
Saying: You dainty dame, for that you be so coy,
I will so pluck your plumes as you shall say no more:
Go, go, go, seek some other where, importune me no more.

As soon as he had said, such change grew in my breast
That neither night nor day I could take any rest.
Wherefore I did repent that I had said before:
Go, go, go, seek some other where, importune me no more.",5,sadness,0.9726232,0.003043852,0.006401607,0.001264692,0.006771398,0.008088763,0.9726232,0.001806491,Renaissance,Mythology & Folklore
"When by thy scorn, O murd'ress, I am dead
         And that thou think'st thee free
From all solicitation from me,
Then shall my ghost come to thy bed,
And thee, feign'd vestal, in worse arms shall see;
Then thy sick taper will begin to wink,
And he, whose thou art then, being tir'd before,
Will, if thou stir, or pinch to wake him, think
         Thou call'st for more,
And in false sleep will from thee shrink;
And then, poor aspen wretch, neglected thou
Bath'd in a cold quicksilver sweat wilt lie
         A verier ghost than I.
What I will say, I will not tell thee now,
Lest that preserve thee; and since my love is spent,
I'had rather thou shouldst painfully repent,
Than by my threat'nings rest still innocent.",5,sadness,0.7981401,0.06664314,0.017437905,0.0846977,0.009671022,0.019653255,0.7981401,0.003756844,Renaissance,Mythology & Folklore
"Pla ce bo,
Who is there, who?
Di le xi,
Dame Margery;
Fa, re, my, my,
Wherfore and why, why?
For the sowle of Philip Sparowe,
That was late slayn at Carowe,
Among the Nones Blake,
For that swete soules sake,
And for all sparowes soules,
Set in our bederolles,
Pater noster qui,
With an Ave Mari,
And with the corner of a Crede,
The more shalbe your mede.

Whan I remembre agayn
How mi Philyp was slayn,
Never halfe the payne
Was betwene you twayne,
Pyramus and Thesbe,
As than befell to me:
I wept and I wayled,
The tearys downe hayled;
But nothinge it avayled
To call Phylyp agayne,
Whom Gyb our cat hath slayne.

Gib, I saye, our cat,
Worrowyd her on that
Which I loved best:
It can not be exprest
My sorowfull hevynesse,
But all without redresse;
For within that stounde,
Halfe slumbrynge, in a swounde
I fell downe to the grounde.

Unneth I kest myne eyes
Towarde the cloudy skyes:
But whan I dyd beholde
My sparow dead and colde,
No creatuer but that wolde
Have rewed upon me,
To behold and se
What hevynesse dyd me pange;
Wherewith my handes I wrange,
That my senaws cracked,
As though I had ben racked,
So payned and so strayned,
That no lyfe wellnye remayned.

I syghed and I sobbed,
For that I was robbed
Of my sparowes lyfe.
O mayden,",5,sadness,0.9465588,0.007991029,0.002492897,0.011882428,0.001421519,0.00923335,0.9465588,0.020419933,Renaissance,Mythology & Folklore
